Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
206;DR2-MBJK0-SX275;Bus;-8;0.942;0.968;0.697;0.836;1.132;2.456
207;DR2-MBJK0-SX365;Living room;-4;0.746;0.837;0.387;0.505;1.043;1.496
208;DR2-MBJK0-SX5;Hallway;-8;0.714;0.813;0.545;0.636;1.051;1.408
209;DR2-MBJK0-SX95;Metro;0;0.9;0.93;0.677;0.762;1.129;2.142
210;DR2-MCCS0-SA1;Speech-shaped noise;0;0.626;0.736;0.4;0.572;1.076;1.5
211;DR2-MCCS0-SA2;Restaurant;2;0.669;0.789;0.395;0.499;1.179;1.471
212;DR2-MCCS0-SI1469;Copy machine;4;0.695;0.8;0.458;0.591;1.181;1.471
213;DR2-MCCS0-SI2099;Speech-shaped noise;-4;0.565;0.695;0.318;0.457;1.088;1.381
214;DR2-MCCS0-SI839;Metro;4;0.809;0.873;0.617;0.714;1.18;2.338
215;DR2-MCCS0-SX119;Town square;-4;0.637;0.737;0.359;0.511;1.05;1.273
216;DR2-MCCS0-SX209;Town square;-4;0.765;0.851;0.51;0.577;1.055;1.882
217;DR2-MCCS0-SX299;River;0;0.658;0.746;0.452;0.495;1.099;1.642
218;DR2-MCCS0-SX29;Sports Field;-2;0.79;0.896;0.416;0.615;1.049;2.081
219;DR2-MCCS0-SX389;Speech-shaped noise;6;0.77;0.85;0.569;0.694;1.372;2.064
220;DR2-MCEM0-SA1;Sports Field;6;0.931;0.95;0.807;0.89;1.295;3.12
221;DR2-MCEM0-SA2;City park;6;0.871;0.898;0.72;0.801;1.265;2.004
222;DR2-MCEM0-SI1398;Subway station;-6;0.638;0.746;0.253;0.374;1.03;1.303
223;DR2-MCEM0-SI2028;Living room;4;0.869;0.905;0.552;0.705;1.19;2.028
224;DR2-MCEM0-SI768;Subway station;-4;0.701;0.812;0.335;0.48;1.06;1.505
225;DR2-MCEM0-SX138;Metro;-2;0.8;0.861;0.395;0.551;1.095;1.85
226;DR2-MCEM0-SX228;River;-2;0.647;0.771;0.372;0.464;1.086;1.258
227;DR2-MCEM0-SX318;Subway station;-4;0.708;0.833;0.422;0.547;1.067;1.59
