Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
301;DR2-MPGL0-SA2;Copy machine;-8;0.406;0.36;0.128;0.092;1.028;1.058
302;DR2-MPGL0-SI1099;Living room;-6;0.732;0.808;0.377;0.544;1.029;1.53
303;DR2-MPGL0-SI1729;Bus;-6;0.787;0.842;0.49;0.535;1.035;1.592
304;DR2-MPGL0-SI469;Sports Field;-4;0.871;0.924;0.621;0.772;1.032;2.284
305;DR2-MPGL0-SX109;Speech-shaped noise;0;0.716;0.843;0.346;0.564;1.087;1.565
306;DR2-MPGL0-SX199;Copy machine;2;0.605;0.729;0.351;0.49;1.149;1.309
307;DR2-MPGL0-SX19;Bus;-6;0.913;0.937;0.71;0.816;1.032;1.836
308;DR2-MPGL0-SX289;Copy machine;-2;0.456;0.608;0.265;0.344;1.05;1.149
309;DR2-MPGL0-SX379;Sports Field;-2;0.908;0.947;0.752;0.829;1.054;1.925
310;DR2-MRCZ0-SA1;Metro;-8;0.709;0.789;0.485;0.613;1.031;1.165
311;DR2-MRCZ0-SA2;Sports Field;-6;0.797;0.857;0.594;0.688;1.024;1.607
312;DR2-MRCZ0-SI1541;Bus;-8;0.802;0.878;0.518;0.675;1.023;1.279
313;DR2-MRCZ0-SI2171;River;0;0.618;0.694;0.383;0.411;1.047;1.418
314;DR2-MRCZ0-SI911;Traffic;-2;0.746;0.851;0.531;0.673;1.05;1.587
