Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
1269;DR6-MCMJ0-SX374;City park;-6;0.727;0.82;0.373;0.515;1.024;1.425
1270;DR6-MDSC0-SA1;River;-2;0.895;0.933;0.778;0.845;1.059;2.412
1271;DR6-MDSC0-SA2;Sports Field;-8;0.695;0.794;0.44;0.537;1.031;1.742
1272;DR6-MDSC0-SI1038;Speech-shaped noise;-4;0.553;0.707;0.256;0.345;1.094;1.415
1273;DR6-MDSC0-SI2298;River;4;0.833;0.885;0.581;0.66;1.34;2.178
1274;DR6-MDSC0-SI967;Sports Field;-2;0.819;0.887;0.609;0.692;1.048;2.088
1275;DR6-MDSC0-SX138;Speech-shaped noise;6;0.831;0.901;0.522;0.714;1.321;2.026
1276;DR6-MDSC0-SX228;City park;6;0.899;0.939;0.694;0.806;1.267;2.489
1277;DR6-MDSC0-SX318;Living room;2;0.926;0.91;0.763;0.759;1.27;2.194
1278;DR6-MDSC0-SX408;Restaurant;-4;0.493;0.585;0.186;0.179;1.083;1.29
1279;DR6-MDSC0-SX48;Metro;-8;0.58;0.712;0.304;0.392;1.06;1.47
1280;DR6-MESD0-SA1;Metro;-4;0.757;0.797;0.444;0.573;1.063;1.557
1281;DR6-MESD0-SA2;Living room;2;0.78;0.838;0.412;0.589;1.102;1.702
1282;DR6-MESD0-SI1002;Metro;0;0.911;0.935;0.646;0.78;1.266;1.842
1283;DR6-MESD0-SI1632;Traffic;-8;0.644;0.715;0.27;0.4;1.033;1.424
1284;DR6-MESD0-SI2262;Town square;4;0.922;0.941;0.782;0.84;1.17;2.327
1285;DR6-MESD0-SX102;Metro;-6;0.784;0.815;0.378;0.493;1.143;1.351
1286;DR6-MESD0-SX12;Cafeteria;2;0.699;0.796;0.519;0.602;1.116;1.619
1287;DR6-MESD0-SX192;Living room;-4;0.693;0.746;0.312;0.372;1.028;1.244
1288;DR6-MESD0-SX282;Traffic;2;0.9;0.932;0.61;0.765;1.077;2.076
1289;DR6-MESD0-SX372;Hallway;-8;0.854;0.893;0.545;0.715;1.075;1.745
1290;DR6-MJDH0-SA1;Town square;-4;0.735;0.838;0.554;0.676;1.031;1.688
1291;DR6-MJDH0-SA2;Bus;-4;0.787;0.883;0.582;0.706;1.021;1.62
1292;DR6-MJDH0-SI1354;Sports Field;-6;0.907;0.953;0.734;0.857;1.033;1.948
1293;DR6-MJDH0-SI1984;Metro;6;0.869;0.945;0.703;0.885;1.18;1.449
1294;DR6-MJDH0-SI724;Hallway;4;0.947;0.963;0.807;0.868;1.344;2.242
1295;DR6-MJDH0-SX184;Metro;-4;0.811;0.896;0.579;0.751;1.079;1.448
1296;DR6-MJDH0-SX274;Traffic;0;0.877;0.914;0.668;0.76;1.053;1.778
1297;DR6-MJDH0-SX364;Hallway;6;0.943;0.964;0.763;0.86;1.247;2.232
1298;DR6-MJDH0-SX4;Metro;0;0.738;0.86;0.431;0.557;1.075;1.439
1299;DR6-MJDH0-SX94;Living room;-4;0.75;0.854;0.395;0.521;1.038;1.251
1300;DR6-MJFC0-SA1;Traffic;2;0.857;0.901;0.675;0.778;1.083;1.995
1301;DR6-MJFC0-SA2;Town square;-4;0.86;0.92;0.729;0.839;1.038;2.2
1302;DR6-MJFC0-SI1033;Speech-shaped noise;6;0.833;0.895;0.592;0.746;1.492;2.168
1303;DR6-MJFC0-SI1663;City park;-4;0.725;0.823;0.375;0.565;1.038;1.757
1304;DR6-MJFC0-SI2293;Restaurant;2;0.722;0.834;0.462;0.621;1.146;1.74
1305;DR6-MJFC0-SX133;City park;4;0.969;0.958;0.853;0.866;1.357;2.515
1306;DR6-MJFC0-SX223;Traffic;-6;0.832;0.906;0.566;0.722;1.049;2.001
1307;DR6-MJFC0-SX313;City park;4;0.726;0.83;0.424;0.563;1.104;1.61
